chr1	43829999	43831347	43830954.0	46	11	11	0.0	3.097095297999175e-07	4.508199532911327e-05	4508.199532911327	8.188185341808353e-06	818.8185341808353	3689.3809987304917	0.0	chr1	43783353	43831149
chr1	108198466	108199882	108199426.0	55	41	10	0.0	1.3416451316583533e-07	5.390238571959195e-05	5390.238571959195	3.051959991037659e-05	3051.959991037659	2338.2785809215356	0.0	chr1	108153470	108199490
chr1	113975582	113977020	113976809.0	44	16	9	0.0	4.878280335240959e-09	4.312190857567356e-05	4312.190857567356	1.191008776990306e-05	1191.008776990306	3121.1820805770503	0.0	chr1	113976710	114001071
chr1	151006952	151008342	151007152.0	25	7	6	2.2734386595502087e-09	1.0504727765314748e-05	2.450108441799634e-05	2450.108441799634	5.210663399332588e-06	521.0663399332589	1929.042101866375	1.5141889199157481e-05	chr1	150981480	151008313
chr1	183461004	183462399	183461698.0	27	11	11	2.7082114328891294e-10	0.0002969608452620953	2.6461171171436047e-05	2646.117117143605	8.188185341808353e-06	818.8185341808353	1827.2985829627696	2.223015592063072e-06	chr1	183023915	184373413
chr1	200433031	200433617	200433368.0	26	15	7	6.032451205228995e-10	0.0003896441617053936	2.5481127794716194e-05	2548.1127794716194	1.1165707284284118e-05	1116.5707284284117	1431.5420510432077	4.580316534880668e-06	chr1	200016549	202335645
chr1	207240702	207241777	207241391.0	34	10	5	2.220446049250313e-15	1.8297010362378074e-07	3.332147480847502e-05	3332.1474808475023	7.443804856189412e-06	744.3804856189412	2587.766995228561	4.495837776138008e-11	chr1	206903703	227329107
chr1	220363956	220364499	220364226.0	24	1	4	1.0325625909857195e-09	4.414560828003289e-09	2.3521041041276488e-05	2352.1041041276485	7.443804856189412e-07	74.43804856189412	2277.6660555657545	7.413745700258549e-06	chr1	206903703	227329107
chr1	226114301	226114769	226114531.0	23	10	4	4.955947763285451e-09	0.0008144151913092035	2.2540997664556634e-05	2254.0997664556635	7.443804856189412e-06	744.3804856189412	1509.7192808367222	3.065539339905088e-05	chr1	206903703	227329107
chr10	8084674	8085509	8084966.0	32	16	9	7.773781618425346e-13	4.012765898786519e-06	3.136138805503532e-05	3136.138805503532	1.191008776990306e-05	1191.008776990306	1945.1300285132259	1.0880134599718317e-08	chr10	7945631	8128885
